"Name","Date","Open","High","Low","Close","Volume","OI"
SET,19750430,100.00,100.00,100.00,100.00,163310,0
SET,19750502,99.96,99.96,99.96,99.96,150220,0
SET,19750506,99.53,99.53,99.53,99.53,260100,0
SET,19750507,99.13,99.13,99.13,99.13,35480,0
SET,19750508,97.88,97.88,97.88,97.88,52500,0
SET,19750509,96.64,96.64,96.64,96.64,157050,0
SET,19750512,95.37,95.37,95.37,95.37,16000,0
SET,19750513,92.55,92.55,92.55,92.55,62000,0
SET,19750514,92.11,92.11,92.11,92.11,581260,0
SET,19750515,90.32,90.32,90.32,90.32,42120,0
SET,19750516,89.45,89.45,89.45,89.45,78720,0
SET,19750519,87.11,87.11,87.11,87.11,31420,0
SET,19750520,85.73,85.73,85.73,85.73,146370,0
SET,19750521,85.73,85.73,85.73,85.73,161900,0
SET,19750522,90.94,90.94,90.94,90.94,181000,0
SET,19750523,91.91,91.91,91.91,91.91,167000,0
SET,19750526,90.69,90.69,90.69,90.69,123720,0
SET,19750527,88.89,88.89,88.89,88.89,631000,0
SET,19750528,89.57,89.57,89.57,89.57,38570,0
SET,19750529,89.98,89.98,89.98,89.98,126080,0
SET,19750530,89.98,89.98,89.98,89.98,52000,0
SET,19750602,89.53,89.53,89.53,89.53,27260,0
SET,19750603,89.53,89.53,89.53,89.53,22000,0
SET,19750604,89.42,89.42,89.42,89.42,18610,0
SET,19750605,89.56,89.56,89.56,89.56,56890,0
SET,19750606,89.55,89.55,89.55,89.55,59500,0
SET,19750609,89.54,89.54,89.54,89.54,47900,0
SET,19750610,89.54,89.54,89.54,89.54,23000,0
SET,19750611,89.99,89.99,89.99,89.99,37170,0
SET,19750612,90.03,90.03,90.03,90.03,81000,0
SET,19750613,90.19,90.19,90.19,90.19,61550,0
SET,19750616,90.61,90.61,90.61,90.61,43000,0
SET,19750617,90.91,90.91,90.91,90.91,29350,0
SET,19750618,90.79,90.79,90.79,90.79,514850,0
SET,19750619,90.79,90.79,90.79,90.79,41580,0
SET,19750620,90.71,90.71,90.71,90.71,175300,0
SET,19750623,90.89,90.89,90.89,90.89,97320,0
SET,19750624,90.96,90.96,90.96,90.96,35000,0
SET,19750625,91.38,91.38,91.38,91.38,82500,0
SET,19750626,91.12,91.12,91.12,91.12,207500,0
SET,19750627,91.27,91.27,91.27,91.27,69660,0
SET,19750630,91.64,91.64,91.64,91.64,73790,0
